Fiscal Year,Employer,Initial Approvals,Initial Denials,Continuing Approvals,Continuing Denials,NAICS,Tax ID,State,City,ZIP
2014,KPS & COMPANY LLC,1,0,0,0,54,,CT,WEST HARTFORD,06107
2014,GLOBAL INTEGRAL RESEARCH COR,0,0,1,0,99,,DC,WASHINGTON,20005
2014,AMERICAN LEARNING ED EXCHANGE ORG,1,0,0,0,61,,DC,WASHINGTON,20008
2014,THE CATHLIC UNIV OF AMERICA,1,0,0,0,61,,DC,WASHINGTON,20064
2014,TRI-MURTI HOSPITALITY INC,0,0,1,0,72,,FL,CLEARWATER,33764
2014,WIRELESS PCS FL LLC,0,0,1,0,44,,FL,DELRAY BEACH,33484
2014,SAJID ENTERPRISES INC D/B/A/ VALER,1,0,0,0,44,,FL,HOLLYWOOD,33025
2014,NEMOURS FDN PEDIATRIC HOSP WOODBUR,1,0,1,0,62,,FL,JACKSONVILLE,32256
2014,HOLDUN USA INC,0,1,0,0,52,,FL,MIAMI,33130
2014,GERMAN MOTORING INC,0,1,0,0,33,,FL,MIAMI,33133
2014,PARK AVENUE GIFTS INC,0,0,0,1,44,,FL,MIAMI,33137
2014,VITACOM SERVICES CORPORATION,0,0,1,0,51,,FL,MIAMI,33173
2014,ENHANCE BUSINESS CONS & PEACE ECO,0,1,0,0,99,,FL,MIAMI BEACH,33141
2014,ZANS AYSHAMIR INC,0,0,1,0,44,,FL,POMPANO BEACH,33065
2014,ALI GROUP INC,0,0,1,0,44,,GA,ATLANTA,30310
2014,CAPITAL MEDIA GR LLC DBA TELEMUNDO,1,0,0,0,99,,GA,DULUTH,30096
2014,PURIBEN INC DBA SUNICO FOOD MA,0,0,0,1,99,,GA,MARIETTA,30064
2014,GOLDEN TRIANGLE,0,1,0,0,42,,IL,CHICAGO,60603
2014,CAP GEMINI U S LLC,1,0,0,0,54,,IL,CHICAGO,60606
2014,GEN GROWTH PROPERTIES INC,1,0,0,0,99,,IL,CHICAGO,60606
2014,SIGNATURE HEALTHCARE SOLUTIONS SC,0,0,2,0,62,,IL,CHICAGO,60610
2014,JOHN H STROGER JR HOSP OF COOK,1,0,1,0,62,,IL,CHICAGO,60612
2014,MOLTOPASSION PRODUCTIONS AKA FUTUR,0,1,0,0,71,,IL,CHICAGO,60637
2014,AYDA LLC,0,1,0,0,54,,IL,CHICAGO,60654
2014,CAPGEMINI FIN. SERVICES USA INC,1,0,0,0,54,,IL,DES PLAINES,60018
2014,ALLENDALE ASSN,1,0,0,0,62,,IL,LAKE VILLA,60046
2014,"QUADRANT 4 SOLUTIONS, INC.",1,0,0,0,54,,IL,ROLLING MEADOWS,60008
2014,PIEZO TECHNOLOGIES D/B/A MEGGITT S,0,0,1,0,33,,IN,INDIANAPOLIS,46268
2014,H& K ENGINEERING LLC,0,0,1,0,23,,LA,BATON ROUGE,70816
2014,OM SHAKTHI CORPORATION DBA DOSA TE,0,0,0,1,99,,MA,ASHLAND,01721
2014,BUILDING EXCELLENT SCHOOLS,1,0,0,0,92,,MA,BOSTON,02109
2014,METROPOLITAN AREA PLANNING COU,0,0,1,0,99,,MA,BOSTON,02111
2014,ONCORPS INC,1,0,0,0,54,,MA,CAMBRIDGE,02138
2014,MT OLIVE KINGDOM BUILDERS WORSHIP,0,0,1,0,81,,MA,DORCHESTER,02124
2014,DID/NATL INST OF HLTH DHHS,1,0,0,0,99,,MD,BETHESDA,20892
2014,SB CONSTRUCTION GROUP LLC,0,0,1,0,23,,MD,HYATTSVILLE,20784
2014,POTOMAC SOCCER ASSOCIATION,0,0,1,0,99,,MD,POTOMAC,20859
2014,JHM TECHNOLOGIES INC,1,0,0,0,33,,MI,FENTON,48430
2014,BEYDOUN DRUGS STORES INC,1,0,0,0,44,,MI,OAK PARK,48237
2014,THE SILVER SPOON RISTORANTE ITALIA,0,1,0,0,72,,MI,ROCHESTER,48306
2014,WIELAND DESIGN INC,0,0,1,0,33,,MN,GOSHEN,56528
2014,ALL AREA METRO PROPERTY MGMT,0,0,1,0,53,,MN,MINNEAPOLIS,55408
2014,WORLD RELIEF MINNESOTA DBA ARRIVE,1,0,0,0,99,,MN,RICHFIELD,55423
2014,N CAROLINA AGRICULTURAL  TECH,0,0,1,0,61,,NC,GREENSBORO,27411
2014,SPM GROUP INC,0,0,2,0,99,,NJ,HOBOKEN,07030
2014,MICRO DATA SYSTEMS INC,1,0,0,0,54,,NJ,HOLMDEL,07733
2014,FIXI AMERICAS LLC,1,0,0,0,52,,NJ,JERSEY CITY,07302
2014,FOREST ATLANTIC,1,0,0,0,44,,NJ,NORWOOD,07648
2014,COMPUTATIONAL ANALYSIS & NETWO,0,0,1,0,54,,NM,ALBUQUERQUE,87109
2014,ELEVE TRAINING STUDIOS LLC,0,0,0,1,54,,NV,LAS VEGAS,89147
2014,FLOATING APPS INC,1,0,0,0,54,,NY,BROOKLYN,11201
2014,NORTHSIDE MEDIA GROUP LLC,0,0,1,0,99,,NY,BROOKLYN,11201
2014,HEALTHNOW NY INC DBA BCBS OF W,0,0,1,0,52,,NY,BUFFALO,14202
2014,CORNELL UNIVERSITY  ISSO,1,0,0,0,61,,NY,ITHACA,14853
2014,FRUIT OF THE VINES INC,0,0,1,0,42,,NY,LONG ISLAND CITY,11101
2014,ST ENGINEERING SERVICES STE LLP,2,0,0,0,54,,NY,NEW YORK,10001
2014,HASTENS BEDS INC,0,0,1,0,33,,NY,NEW YORK,10003
2014,LIPPETAYLOR INC,0,0,1,0,54,,NY,NEW YORK,10003
2014,WANK ADAMS SLAVIN ASSOC LLP,1,0,0,0,99,,NY,NEW YORK,10003
2014,RN EXPRESS STAFFING AGENCY LLC,1,1,0,0,99,,NY,NEW YORK,10010
2014,TRIBECA DESIGN STUDIO LLC,0,0,1,0,99,,NY,NEW YORK,10013
2014,BOCHIC INC,1,0,0,0,33,,NY,NEW YORK,10019
2014,COOL HAND LUKE PRODUCTIONS INC,1,0,0,0,51,,NY,NEW YORK,10019
2014,FOREFRONT CAPITAL MARKETS LLC,0,0,2,0,52,,NY,NEW YORK,10022
2014,PURE GROWTH CONSULTING LLC,0,0,1,0,54,,NY,NEW YORK,10022
2014,AUGUST VENTURES LLC D/B/A NETA,0,1,0,0,72,,NY,NEW YORK,10022
2014,JOLLY M CAPLASH DMD PC DBA ROC,0,1,0,0,99,,NY,ROCHESTER,14625
2014,THE E W SCRIPPS COMPANY,1,0,0,0,51,,OH,CINCINNATI,45202
2014,MICHAEL SCHUSTER ASSO INC,1,0,0,0,54,,OH,CINCINNATI,45202
2014,EASTERN OKLAHOMA PRESBYTERY,0,0,1,0,81,,OK,TULSA,74119
2014,AIDS CARE GROUP,0,1,0,0,62,,PA,CHESTER,19013
2014,GOLDSTAR LLC,0,0,2,0,54,,PA,ENOLA,17025
2014,CASTOR DENTAL CARE LLC,1,0,0,0,54,,PA,PHILADELPHIA,19149
2014,MASTECH INC A MASTECH HOLDINGS,0,0,1,0,99,,PA,PITTSBURGH,15275
2014,SAIKRUPA CORPORATION,0,1,0,0,72,,PA,SCRANTON,18505
2014,GBP FINANCIALS SOLUTIONS LLC,0,0,1,0,54,,PA,WEST CHESTER,19380
2014,CWORK SOLUTIONS INC,0,0,1,0,52,,PA,YORK,17402
2014,UNIV OF PUERTO RICO ADMINISTRATIVE,1,0,0,0,61,,PR,MAYAGUEZ,00680
2014,UNIV OF PR ADMINISTRATIVE DEANSHIP,1,0,0,0,61,,PR,MAYAGUEZ,00681
2014,LAKELANDS NEPHROLOGY PA,1,0,0,0,62,,SC,GREENWOOD,29646
2014,INTL CHILDRENS HEART FOUNDATIOIN,1,0,0,0,99,,TN,MEMPHIS,38104
2014,UNIV OF TENNESSEE HLTH SCIENCE CTR,1,0,0,0,61,,TN,MEMPHIS,38163
2014,MILLENIUM INNOVATIVE TECH CONCEPTS,0,1,0,0,54,,TX,ALLEN,75013
2014,AMB LEGAL SUPPORT LLC,0,0,0,1,99,,TX,DALLAS,75204
2014,BRINKLEY SARGENT ARCHITECTS INC,0,0,1,0,54,,TX,DALLAS,75254
2014,MAGNA LEATHER CORPORATION,0,0,1,0,99,,TX,EL PASO,79915
2014,PAVLOV ADVERTISING LLC,0,0,1,0,54,,TX,FORT WORTH,76164
2014,THE TOPPINS LAW FIRM PC,1,0,0,0,54,,TX,HOUSTON,77008
2014,WOOD GEORGE & CO INC,1,0,0,0,33,,TX,HOUSTON,77029
2014,S CENTRAL HOUSTON ACTION COUNCIL I,0,0,1,0,99,,TX,HOUSTON,77033
2014,A A RESTAURANT EQUIPMENT CO INC,0,0,1,0,99,,TX,HOUSTON,77074
2014,BHR ENTERPRISES LLC DBA ROXON SOLU,1,0,0,0,54,,TX,HOUSTON,77079
2014,PACIFIC CONSULTING GROUP,0,0,1,0,99,,TX,HOUSTON,77095
2014,LAREDO REGIONAL MED CTR LP DBA DRS,0,0,1,0,99,,TX,LAREDO,78045
2014,MEMORIAL MULTISPECIALTY ASSOCS DBA,0,0,1,0,62,,TX,LUFKIN,75902
2014,NARAYAN AND DHIR DENTISTRY PLLC DB,1,0,0,0,62,,TX,PAMPA,79065
2014,GREATER DALLAS COMMUNITY DEV CORP,1,0,0,0,62,,TX,PLANO,75093
2014,HAMILTON SCIENTIFIC,0,0,1,0,33,,TX,ROUND ROCK,78664
2014,ODYSSEY CHARTER SCH,1,0,0,0,61,,UT,AMERICAN FORK,84003
2014,LDI GRP INC,1,0,0,0,54,,UT,SALT LAKE CITY,84105
2014,AHMADIYAR & MOTAMEDI II PLLC DBASA,1,0,0,0,62,,VA,MANASSAS,20109
2014,KOZAK POLLEKOOF & GOLDMAN PC,0,0,1,0,54,,VA,VIENNA,22182
2014,NORTH WEST TAX SPECIALISTS INC,1,0,0,0,54,,WA,BELLEVUE,98005
2014,FRENCH IMMERSION SCHOOL OF WA,0,0,1,0,61,,WA,BELLEVUE,98008
2014,NICKERSON & ASSOCIATES LLC,0,0,1,0,54,,WA,SEATTLE,98101
2014,RATIONAL INTERACTION INC,0,0,1,0,54,,WA,SEATTLE,98104
2014,PYROTEK INC,0,0,1,0,32,,WA,SPOKANE,99206
2014,INNOVEIT LLC,0,1,0,0,54,,WI,GREEN BAY,54313
2014,SANDHYA GOLI DMD LLC,1,0,0,1,62,4253,MA,WOBURN,01801
2014,LL BEAN INC,0,0,3,0,33,6590,ME,FREEPORT,04033
2014,UNIV OF MASSACHUSETTS AMHERST,1,0,0,0,61,9361,MA,AMHERST,01003
2014,CENTRAL MAINE POWER,0,0,1,0,22,2740,ME,AUGUSTA,04336
2014,TD BANK NA,0,0,1,0,52,7770,ME,FALMOUTH,04105
2014,TD BANK NA,0,0,1,0,52,7770,NH,PORTSMOUTH,03801
2014,TD BANK NA,0,0,11,0,52,7770,NJ,MOUNT LAUREL,08054
2014,CIANBRO CORPORATION,0,0,1,0,23,6260,ME,PITTSFIELD,04967
2014,COLBY COLLEGE,3,0,0,0,61,1497,ME,WATERVILLE,04901
2014,EASTERN MAINE MED CTR,14,0,12,0,62,1501,ME,BANGOR,04401
2014,THE JACKSON LABORATORY,13,0,13,0,54,1513,ME,BAR HARBOR,04609
2014,ST MARY S REGIONAL MEDICAL CENTER,0,0,1,0,62,1551,ME,LEWISTON,04240
2014,BATES COLLEGE,1,0,0,0,61,1781,ME,LEWISTON,04240
2014,CALAIS REGIONAL HOSPITAL,1,0,1,0,62,1783,ME,CALAIS,04619
2014,MOUNT DESERT ISLAND HOSPITAL,1,0,1,0,62,1797,ME,BAR HARBOR,04609
2014,MAINE CENTRAL INSTITUTE,0,0,1,0,61,2438,ME,PITTSFIELD,04967
2014,BOWDOIN COLLEGE,3,0,0,0,61,5213,ME,BRUNSWICK,04011
2014,MILLINOCKET REGIONAL HOSPITAL,0,0,1,0,62,3482,ME,MILLINOCKET,04462
2014,JOHN HANCOCK LIFE INSURANCE CO USA,1,0,0,0,52,3346,MA,BOSTON,02116
2014,JOHN HANCOCK LIFE INSURANCE CO USA,0,0,16,0,52,3346,MA,BOSTON,02117
2014,JOHN HANCOCK LIFE INSURANCE CO USA,1,0,0,0,52,3346,MA,BOSTON,02201
2014,JOHN HANCOCK LIFE INSURANCE CO USA,2,0,4,0,52,3346,MA,BOSTON,02210
2014,NORTHERN MAINE MEDICAL CENTER,1,0,0,0,62,4189,ME,FORT KENT,04743
2014,MAINE MED CTR,1,0,1,0,54,8552,ME,PORTLAND,04102
2014,MAINE SCHOOL ADMIN DISTRICT NO 28,0,0,1,0,61,9114,ME,CAMDEN,04843
2014,MAINE SCHOOL ADMIN DISTRICT NO 32,0,0,1,0,61,0221,ME,ASHLAND,04732
2014,MSAD 45,0,0,1,0,61,4490,ME,WASHBURN,04786
2014,REDINGTON FAIRVIEW GENERAL HOSP,1,0,3,0,62,4446,ME,SKOWHEGAN,04976
2014,KENNEBEC ANESTHESIA ASSOCIATES PA,0,0,1,0,62,8691,ME,AUGUSTA,04330
2014,HOSPITAL ADMIN DISTRICT NO 4,0,0,3,0,62,9670,ME,DOVER FOXCROFT,04426
2014,LOHMANN ANIMAL HEALTH INTL INC,1,0,0,0,32,0415,NJ,RIDGEWOOD,07450
2014,SACOPEE VALLEY HEALTH CENTER,0,0,1,0,62,7381,ME,PORTER,04068
2014,PROSTHODONTICS ASSOCIATES P A,1,0,0,0,33,3840,ME,SOUTH PORTLAND,04106
2014,MAINE DARTMOUTH FAMILY MEDICINE RE,0,0,1,0,62,9195,ME,AUGUSTA,04330
2014,JOHN BAPST MEMORIAL HIGH SCHOOL,1,0,0,0,61,0309,ME,BANGOR,04401
2014,THE AROOSTOOK MEDICAL CTR,5,0,3,0,62,2148,ME,PRESQUE ISLE,04769
2014,PINES HEALTH SERVICES,2,1,4,0,62,6890,ME,CARIBOU,04736
2014,SMRT INC,0,0,1,0,54,4169,ME,PORTLAND,04104
2014,IDEXX LABORATORIES INC,1,0,20,0,54,3723,ME,WESTBROOK,04092
2014,INLAND HOSPITAL,0,1,0,0,62,0420,ME,WATERVILLE,04901
2014,NORTHERN MAINE COMMUNITY COLLEGE,0,0,1,0,61,6015,ME,PRESQUE ISLE,04769
2014,FHC INC,0,0,1,0,33,0884,ME,BOWDOIN,04287
2014,ACADIA HOSPITAL CORPORATION,0,0,1,0,62,9837,ME,BANGOR,04401
2014,SENSOR RESEARCH & DEVELOPMENT CORP,0,0,1,0,54,6184,ME,ORONO,04473
2014,IDEXX REFERENCE LABORATORIES INC,0,0,1,0,54,5450,ME,WESTBROOK,04092
2014,SPECTRUM MEDICAL GROUP PA,0,0,2,0,62,0040,ME,SOUTH PORTLAND,04106
2014,NORDX,0,0,1,0,62,1356,ME,SCARBOROUGH,04074
2014,PENOBSCOT COMMUNITY HEALTH CARE,2,0,1,0,62,4750,ME,BANGOR,04401
2014,CORNERSTONE BRANDS INC,0,0,1,0,99,0036,OH,WEST CHESTER,45069
2014,NORTHEAST NEPHROLOGY PA,0,0,1,0,62,1643,ME,BANGOR,04401
2014,REVITAS INC,1,0,2,0,54,4931,CA,NEWARK,94560
2014,REVITAS INC,0,0,3,0,54,4931,PA,PHILADELPHIA,19103
2014,VISION CARE OF MAINE LLC,1,0,0,0,62,5143,ME,BANGOR,04401
2014,TRC ENGINEERS LLC,0,0,3,0,54,6475,MA,BOSTON,02210
2014,WEX INC,1,0,0,1,52,6993,ME,SOUTH PORTLAND,04106
2014,WEX INC,1,0,0,0,54,6993,ME,SOUTH PORTLAND,04106
2014,PENOBSCOT BAY PHYSICIANS & ASSOCS,0,0,1,0,62,0517,ME,ROCKLAND,04841
2014,STRATEGIC MAINTENANCE SOLNS INC,1,0,0,0,54,3903,ME,GORHAM,04038
2014,UTC ASSOCIATES INC,3,0,2,0,54,8464,NY,NEW YORK,10005
2014,TITANIUM INC,0,0,1,0,54,9172,MI,TROY,48083
2014,SCALABILITY EXPERTS INC,0,0,1,0,54,1468,TX,COPPELL,75019
2014,OC & STRATEGY CONSULTANTS LLC DBA,2,0,0,0,54,1663,NY,NEW YORK,10017
2014,WOOD GROUP MUSTANG INC,5,0,11,0,54,1791,TX,HOUSTON,77084
2014,WOOD GROUP MUSTANG INC,0,0,1,0,54,1791,TX,HOUSTON,77098
2014,INFOGEN INC,0,0,1,0,54,1984,MI,ANN ARBOR,48108
2014,SUTTON PLACE MANAGEMENT LLC,1,0,0,0,52,2073,CA,SAN FRANCISCO,94111
2014,EVERCORE PARTNERS SVCS EAST LLC,6,0,7,0,52,2543,NY,NEW YORK,10055
2014,EXIM FABRIC INC DBA FABCONX,0,0,1,0,31,2684,CA,LOS ANGELES,90058
2014,INCASE DESIGNS CORP,0,0,1,0,99,5389,CA,CHINO,91710
2014,PACIFIC COMPANIES INC,0,1,0,0,54,8411,CA,ALISO VIEJO,92656
2014,MEENAN & ASSOCIATES LLC,0,0,2,0,54,9735,NY,NEW YORK,10038
2014,HRSOFT USA INC,1,0,2,0,54,0270,FL,MAITLAND,32751
2014,DURANT DC LLC,0,0,1,0,99,2033,OK,DURANT,74701
2014,SC & ASSOCIATES LLP,3,0,1,0,54,2318,NY,GREAT NECK,11021
2014,WOOD MACKENZIE INC,6,0,3,1,54,4533,MA,CENTERVILLE,02632
2014,WOOD MACKENZIE INC,0,0,1,0,54,4533,MA,HARWICH,02645
2014,MYBUYS INC,1,0,0,0,51,5787,CA,SAN MATEO,94402
2014,MYBUYS INC,2,0,0,0,51,5787,MI,ANN ARBOR,48104
2014,MESRIANI & ASSO A PRO LAW CORP,0,0,2,0,54,5936,CA,SANTA MONICA,90401
2014,STANDWITHUS,0,1,0,0,54,6033,CA,LOS ANGELES,90064
2014,W CALIFORNIA ARTS ACADEMY,1,0,0,0,61,6088,CA,SAN GABRIEL,91776
2014,CONCENTRIC ENERGY ADVISORS INC,0,0,1,0,54,8063,MA,MARLBOROUGH,01752
2014,SIDERA NETWORKS LLC DBA LIGHTOWER,0,0,1,0,99,0431,MA,BOXBOROUGH,01719
2014,GRACE RYAN & MAGNUS MILLWORK LLC,0,0,1,0,33,1060,NY,MOUNT VERNON,10550
2014,CITCO FUND SVCS SAN FRANCISCO INC,1,0,0,0,52,2095,CA,SAN FRANCISCO,94105
2014,DIGITAS INC,3,0,3,0,54,2286,MA,BOSTON,02110
2014,DIGITAS LLC,0,0,1,0,54,2286,MA,BOSTON,02210
2014,EPOCH TECHNOLOGIES INC,0,0,0,1,54,3609,MI,CANTON,48187
2014,NOMAR ENTERPRISES LLC,0,1,0,0,54,4406,TX,MAGNOLIA,77355
2014,GREENVIEW COURTYARD INC DBA AQUABL,1,0,0,0,53,5586,FL,MIAMI BEACH,33139
2014,LANGUAGE WEAVER INC AN SDL COMPANY,1,0,2,0,54,6868,CA,LOS ANGELES,90045
2014,IN TOUCH TECHNOLOGIES INC DBA IN T,1,0,0,0,33,8577,CA,GOLETA,93117
2014,INTOUCH TECHNOLOGIES INC DBA IN TO,0,0,1,0,51,8577,CA,GOLETA,93117
2014,WOMENS ENEWS,0,0,1,0,51,8709,NY,NEW YORK,10007
2014,ALICE & OLIVIA LLC,0,0,1,0,45,0869,NY,NEW YORK,10014
2014,Z-GEOINFO INC,0,0,1,0,54,4414,MD,LUTHERVILLE TIMONIUM,21093
2014,CARIBBEAN CATERING SERVICES INC,0,0,1,0,72,4627,FL,MIAMI,33134
2014,KAIKAI KIKI NEW YORK LLC,0,0,1,0,33,4630,NY,LONG ISLAND CITY,11101
2014,MIW MARKETING & CONSULTING INC,1,0,0,0,54,6632,CA,TORRANCE,90503
2014,HEALTH PLAN SYSTEMS INC,1,0,1,0,54,9640,NJ,WOODBRIDGE,07095
2014,COBAN TECHNOLOGIES INC,1,0,0,0,54,3612,TX,HOUSTON,77031
2014,NOBLE COMMUNICATIONS INC,0,0,1,0,44,4004,FL,ORLANDO,32818
2014,NOBLE COMMUNICATIONS INC,0,0,1,0,51,4004,FL,ORLANDO,32818
2014,COHSHEEN ASSOCIATES LLC,0,0,1,0,54,4641,NJ,ISELIN,08830
2014,EQUITYMETRIX LLC,7,0,0,0,54,5899,TX,DALLAS,75240
2014,HYT INTERNATIONAL TRAVEL INC,0,0,0,1,56,7029,NY,FLUSHING,11354
2014,NT CONSULTING INC,0,0,2,0,54,8939,DE,NEWARK,19711
2014,KEMIRA CHEMICALS INC,0,0,4,0,22,8941,GA,ATLANTA,30339
2014,BOFFI L A LLC,0,0,1,0,54,9574,CA,WEST HOLLYWOOD,90048
2014,MATACI INC,0,0,0,1,33,0803,NY,NEW YORK,10001
2014,HYPEROFFICE,0,0,3,0,51,6052,MD,ROCKVILLE,20850
2014,SIRI GROUP INC,4,0,1,0,54,9265,PA,KING OF PRUSSIA,19406
2014,INFOWAY CONSULTING INC,0,1,1,0,54,0596,WA,BELLEVUE,98007
2014,PLANT / ALLISON CORPORATION,0,0,1,0,23,1050,CA,SAN FRANCISCO,94124
2014,JIASSEN CARE SVCS INC DBA PRINCESS,1,0,0,0,62,2236,CA,CAMPBELL,95008
2014,ACEA BIOSCIENCES INC,1,0,0,0,54,5148,CA,SAN DIEGO,92121
2014,SUKHMANI CORP DBA WORLDNET CONSULT,0,0,1,0,54,5651,NJ,MOUNT HOLLY,08060
2014,MINDSPEED TECHNOLOGIES INC,1,1,5,0,33,6769,CA,NEWPORT BEACH,92660
2014,ENERGY RECOVERY INC,2,0,1,0,33,6867,CA,SAN LEANDRO,94577
2014,BUCHANAN P E CONSULTING PA,0,0,1,0,54,9010,FL,MIAMI,33134
2014,GINOR & ASSO CONSULTING INC,0,0,1,0,54,9825,TX,AUSTIN,78731
2014,WOORI USA INC,0,0,1,0,99,6351,CA,SAN DIEGO,92154
2014,ASAHI DIAMOND AMERICA INC,1,0,0,0,32,6463,OH,WEST CHESTER,45069
2014,WORLD RESOURCE SOLUTIONS CORP,0,0,1,0,33,7711,OH,PLAIN CITY,43064
2014,C MAX 2000 INC DBA TRUELOK,1,0,0,0,33,9456,CA,ONTARIO,91761
2014,VINOD GEORGE ABRAHAM CPA PC,0,0,1,0,54,6308,NY,SYOSSET,11791
2014,TECHNICAL STRATEGIES INC,8,1,22,1,54,8930,VA,CHANTILLY,20151
2014,KIPP AUSTIN PUBLIC SCHOOLS INC,0,0,1,0,61,9602,TX,AUSTIN,78724
2014,GALAXY AUTO SOUND INC,0,0,1,0,44,9692,CA,NORTHRIDGE,91324
2014,TEATRO INC,1,0,0,0,72,0505,MA,BOSTON,02116
2014,AVENGER ENGINEERING,1,0,7,0,54,0863,GA,ALPHARETTA,30022
2014,SCARLET INFOTECH INC DBA EXPEDIEN,0,0,1,0,54,1832,TX,HOUSTON,77027
2014,DYNAMIC RATINGS INC,1,0,0,0,33,2517,WI,SUSSEX,53089
2014,ALLIANZ GLOBAL INVESTORS U S LLC,0,0,2,0,52,5160,CA,SAN FRANCISCO,94105
2014,GRANDSTREAM NETWORKS INC,6,0,4,0,33,8916,MA,BOSTON,02215
2014,MANFRA TORDELLA & BROOKES INC,1,0,0,0,33,3397,NY,NEW YORK,10036
2014,TRANSNATIONAL FOODS INC,0,0,2,0,42,4999,FL,MIAMI,33131
2014,ON ASSIGNMENT INC DBA VALESTA CLIN,0,0,0,1,54,0445,CA,CALABASAS,91301
2014,BILLING CONSULTANTS LLC DBA PEACHT,1,0,0,0,56,0771,GA,ATHENS,30606
2014,BEYOND PACIFIC LLC,1,0,0,0,71,1067,NY,ARDSLEY,10502
2014,OLIVIER CHENG CATERING & EVENTS L,0,0,1,0,31,1561,NY,NEW YORK,10013
2014,ALERT LOGIC INC,1,0,0,0,54,3750,TX,HOUSTON,77056
2014,HURON CONSULTING SERVICES LLC,9,0,22,1,54,6453,IL,CHICAGO,60603
2014,HURON CONSULTING SERVICES LLC,1,0,0,0,54,6453,IL,CHICAGO,60607
2014,PRIORITY BUSINESS SVCS,0,0,1,0,56,9059,CA,ANAHEIM,92806
2014,ST AEROSPACE SAN ANTONIO LP,0,0,19,0,48,1036,TX,SAN ANTONIO,78216
2014,CHF INDUSTRIES INC,0,0,1,0,31,1659,NC,CHARLOTTE,28217
2014,ADVANCED BOTANICAL CONSULTING & TE,0,0,1,0,54,4784,CA,TUSTIN,92780
2014,EM SOFTWARE & SYSTEMS USA INC,0,0,1,0,54,9335,VA,HAMPTON,23666
2014,RARITAN PHARMACEUTICALS INC,4,0,1,0,32,0942,NJ,EAST BRUNSWICK,08816
2014,OCWEN LOAN SERVICING LLC,0,0,1,1,52,1100,FL,WEST PALM BEACH,33409
2014,SANOL GROUP INC,0,0,1,0,54,1979,FL,HOLLYWOOD,33024
2014,Y2S TRADING INC,2,0,0,0,99,2323,NY,LONG ISLAND CITY,11101
2014,FAVIANA INTERNATIONAL INC,1,0,0,0,54,3620,NY,NEW YORK,10018
2014,TEKVIZION PVS INC,1,0,0,0,54,4395,TX,RICHARDSON,75080
2014,AEROTEK SCIENTIFIC LLC,0,1,1,0,54,5775,MD,HANOVER,21076
2014,JAYA PRODUCTION SVCS INC,0,1,0,0,51,5928,WA,ISSAQUAH,98027
2014,NGI INC,1,0,0,0,54,7150,TX,HOUSTON,77077
2014,DAIDO CORPORATION OF AMERICA,0,0,1,0,33,8077,TN,PORTLAND,37148
2014,HIREZON CORP DBA INTERVIEW EXCHANG,0,0,1,0,54,8663,MA,WESTBOROUGH,01581
2014,THE LAB LLC,1,1,0,0,54,9008,NY,NEW YORK,10001
2014,SOCCER UNITED MARKETING,1,0,0,0,71,0336,NY,NEW YORK,10018
2014,PROENERGY SERVICES LLC,1,0,0,0,54,1758,MO,SEDALIA,65301
2014,APAC MID-SOUTH INC,0,0,1,0,99,2695,AL,BIRMINGHAM,35242
2014,CAMERON RESOURCES GROUP LLC,0,0,1,0,54,6674,FL,OVIEDO,32765
